Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover
TATACOFFEE,EQ,14-Jan-19,99.2,99,102.5,97.05,100.8,101,100.57,517479,52041554.5
TATACOFFEE,EQ,15-Jan-19,101,101,101.7,99.5,99.8,100.05,100.65,148792,14976523.3
TATACOFFEE,EQ,16-Jan-19,100.05,100.15,100.75,99.1,99.15,99.5,99.95,253835,25370908.85
TATACOFFEE,EQ,17-Jan-19,99.5,99.5,100.65,98.5,98.55,98.7,99.25,141806,14074320.85
TATACOFFEE,EQ,18-Jan-19,98.7,99.65,99.65,97.35,97.85,97.75,98.12,99460,9758902.05
TATACOFFEE,EQ,21-Jan-19,97.75,97.95,98.4,94.8,95,95.25,96.27,164345,15821181.8
TATACOFFEE,EQ,22-Jan-19,95.25,94.85,95.4,91.3,92.15,92.15,93.09,304297,28326410.35
TATACOFFEE,EQ,23-Jan-19,92.15,92.9,93.55,91.8,92.45,92.5,92.82,156135,14491824.7
TATACOFFEE,EQ,24-Jan-19,92.5,96,97.5,93.15,94.55,93.8,94.35,504200,47569131
TATACOFFEE,EQ,25-Jan-19,93.8,94.8,95.95,92.15,92.15,92.6,93.95,353360,33197014.15
TATACOFFEE,EQ,28-Jan-19,92.6,92,92.65,90.05,91.25,91.4,91.28,152007,13875351.1
TATACOFFEE,EQ,29-Jan-19,91.4,91.55,91.55,90.05,90.95,90.85,90.78,154502,14025955.4
TATACOFFEE,EQ,30-Jan-19,90.85,88.95,89.9,87.15,88.45,88.85,88.61,388222,34400800.35
TATACOFFEE,EQ,31-Jan-19,88.85,88.9,90.7,88.85,89.9,90.15,89.56,186732,16723110.2
TATACOFFEE,EQ,01-Feb-19,90.15,91,91,89.1,89.55,89.35,89.81,142466,12795078.5
TATACOFFEE,EQ,04-Feb-19,89.35,88.35,89.45,88,88.1,88.35,88.4,113373,10021673.05
TATACOFFEE,EQ,05-Feb-19,88.35,88.1,88.25,86.5,86.6,86.75,87.26,160039,13965024
TATACOFFEE,EQ,06-Feb-19,86.75,87.1,87.2,84.1,85.1,85.3,85.38,218239,18634032.7
TATACOFFEE,EQ,07-Feb-19,85.3,85.9,87.2,84.9,86.55,86.75,86.21,128163,11049380.1
TATACOFFEE,EQ,08-Feb-19,86.75,86.55,86.55,84.35,84.8,84.8,85.04,119944,10200608.65
TATACOFFEE,EQ,11-Feb-19,84.8,84.8,84.8,83.5,83.65,83.9,83.98,126539,10626994.2
TATACOFFEE,EQ,12-Feb-19,83.9,83.9,84.75,83.05,84.25,84.35,83.94,125643,10546388.5
